"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
six_mo_broad,housing_hh2bl_housing_modified,,checkbox,"<div class=""rich-text-field-label""><p>In the last 6 months have you stayed...<br /><br /><span style=""color: #ba372a;"">(SELECT ALL THAT APPLY)</span></p></div>","1, On the streets, someplace not meant for human habitation, or in a shelter/respite (including vehicular homelessness) | 2, In transitional housing for homeless adults (where you pay rent and can live temporarily and receive services) (like The Henry Robinson) | 3, In permanent housing for formerly homeless people (""Permanent Supportive Housing"" like Shelter Plus Care, The Harrison Hotel, or UA Homes) | 4, In a motel or hotel room | 7, In an apartment, house, or mobile home that is hooked up to services at a trailer park | 8, In an institution | 9, In a ""Tiny Home"", ""Tuff Shed"", or ""Community Cabin""",,,,,,,,,,,,
hotel_motel_specific,housing_hh2bl_housing_modified,,checkbox,"<div class=""rich-text-field-label""><p>Was the hotel or motel room....<br /><br /><span style=""color: #ba372a;"">(SELECT ALL THAT APPLY)</span></p></div>","3, In a SRO/Residential Hotel that is not operated as Permanent Supportive Housing (pays rent, name on lease, no services) | 4, In a motel or hotel room (standard hotel/ motel operated by a business) | 5, Motel, hotel, or trailer paid for by the government or an organization to protect you from COVID (also called a shelter-in-place/SIP hotel or Project Roomkey) | 6, A hotel where you have your name on a lease, stay long term, and there are services available, even if you don't use them (PSH) | 7, A hotel where formerly homeless adults can stay for up to 2 years and receive services (transitional housing) | 8, Other (DO NOT USE THIS OPTION!!)",,,,,,"[six_mo_broad(4)] = '1'",,,,,,
hotelmotel_other,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Specify the other type of hotel or motel</span></p></div>",,,,,,,"[hotel_motel_specific(8)] = '1'",,,,,,
testgrid,housing_hh2bl_housing_modified,,checkbox,"<div class=""rich-text-field-label""><p>In the last 6 months, was where you stayed on the streets, someplace not meant for human habitation, or in a shelter/respite (including vehicular homelessness)...</p> <p><span style=""color: #ba372a;"">(SELECT ALL THAT APPLY)</span></p></div>","1, On the streets, in a park, or anywhere else outside | 2, In an abandoned building, garage (not converted) or anywhere else inside not meant for people to sleep or live | 8, In a car, vehicle, or RV that is not hooked up to services | 3, In a homeless shelter for single adults or families | 4, In a domestic violence shelter, safe house, or emergency housing for people who are fleeing domestic violence | 5, In a motel, hotel, or trailer paid for by the government or an organization to protect you from COVID (also called a shelter-in-place/SIP hotel or Project Roomkey) | 6, In a respite shelter where homeless people can stay while recovering from a medical issue | 7, None of the above | -99, Don't Know",,,,,,"[six_mo_broad(1)] = '1'",,,,,,
testgrid3,housing_hh2bl_housing_modified,,checkbox,"<div class=""rich-text-field-label""><p>In the last 6 months, was where you stayed in an apartment, house, or mobile home that is hooked up to services at a trailer park...</p> <p><span style=""color: #ba372a;"">(SELECT ALL THAT APPLY)</span></p></div>","1, In a room you rent in a house or	apartment (includes SRO/Residential Hotel) | 2, In an apartment or house you rent | 3, In an apartment, condo, or house that you own | 4, With family or friends for free | 5, With family or friends and paid them to  stay | 6, In a room, apartment or house where you exchange work for rent | 7, In a room, apartment or house where you exchange sex for rent | 8, In a mobile home hooked up to services at an RV Park | 10, None of the above | -98, Don't know/Refused",,,,,,"[six_mo_broad(7)] = '1'",,,,,,
testgrid4,housing_hh2bl_housing_modified,,checkbox,"<div class=""rich-text-field-label""><p>In the last 6 months, was where you stayed in an institution...</p></div>","1, In a hospital for a medical or surgical problem | 2, In a psychiatric hospital or mental health facility | 3, In a nursing home | 4, In a Room and Board | 5, In a drug and/or alcohol detox program | 6, In a drug and/or alcohol residential program | 7, In a group home, halfway house, or sober living facility for example, housing run by an agency for people who are exiting prison or substance use treatment | 8, In jail | 9, In prison | 10, In a respite shelter where homeless people can stay while recovering from a medical issue | -98, Don't know | -99, Refused",,,,,,"[six_mo_broad(8)] = '1'",,,,,,
h1ad,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;"">In the last 6 months, did you sleep in any other place I have not asked about?</p></div>","1, Yes | 2, No | -98, Don't know/Refused",,,,,,,,,,,,
h1ae,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;"">Where was it?</p> <p style=""margin-bottom: 0in;""><span style=""color: #236fa1;"">(In the last 6 months, did you sleep in any other place I have not asked about?)</span></p></div>",,"other place, -98 = Don't know/Refused",,,,,"[h1ad] = '1'",,,,,,
h1a,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep on the </span>streets, in a park, or anywhere outside?</p> <p style=""margin-bottom: 0in;""> </p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid(1)] = '1'",,,,,,
h1b_2,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep</span> <span style=""font-weight: normal;"">in an </span>abandoned building, or anywhere else inside not meant for human habitation?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid(2)] = '1'",,,,,,
h1b,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep in a </span>car, vehicle, or RV that is not hooked up to services?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid(8)] = '1'",,,,,,
safe_park_3,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">What type of vehicle did you stay most in the last 6 months?</span></p></div>","1, Car | 2, Van or truck | 3, RV | 4, School bus or other converted commercial vehicle",,,,,,"[testgrid(8)] = '1'",,,,,,
safe_park_4,housing_hh2bl_housing_modified,,radio,"Where did you park your vehicle most in the last 6 months?
","1, On the street | 2, Private property (including a driveway, backyard, or private parking lot) | 3, Public rest stop | 4, Safe parking site or authorized overnight parking lot for people who live in their vehicles | -98, Don't know | -99, Refused",,,,,,"[testgrid(8)] = '1'",,,,,,
h1c_2,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep in a </span>motel, hotel, or trailer paid for by the government or an organization to protect you from COVID (also called a shelter-in-place/SIP hotel or Project Roomkey)?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid(5)] = '1' or [hotel_motel_specific(5)] = '1'",,,,,,
h1c,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months, how many nights did you sleep in a </span>homeless shelter, including domestic violence shelter, but not including COVID Shelters? </p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid(3)] = '1' or [testgrid(4)] = '1'",,,,,,
h1d,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep in </span>transitional housing for homeless adults where you pay rent and can live temporarily and receive services? (examples are The Henry Robinson)?</p> <p style=""margin-bottom: 0in;""> </p> <p style=""margin-bottom: 0in;"">include any hotels where formerly homeless adults can stay for up to 2 years and receive services (transitional housing)</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[six_mo_broad(2)] = '1' or [hotel_motel_specific(7)] ='1'",,,,,,
h1f,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep in</span> permanent supportive housing (PSH) for formerly homeless people (such as Shelter Plus Care, The Harrison Hotel, or UA Homes)?</p> <p style=""margin-bottom: 0in;""> </p> <p style=""margin-bottom: 0in;"">A hotel where you have your name on a lease, stay long term, and there are services available, even if you don't use them (PSH).</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[six_mo_broad(3)] = '1' or [hotel_motel_specific(6)] = '1'",,,,,,
h1f_3,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""color: #000000;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep in a </span>residential hotel that is not operated as Permanent Supportive Housing?</span></p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[hotel_motel_specific(3)] = '1'",,,,,,
h1h,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep in a </span>motel or hotel room (standard hotel/ motel operated by a business)?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[hotel_motel_specific(4)] = '1'",,,,,,
h1i,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months, how many nights did you sleep in a </span>room you rented in a house or apartment?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid3(1)] = '1'",,,,,,
h1i_2,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep</span> <span style=""font-weight: normal;"">in a</span> mobile home hooked up to services at an RV Park?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid3(8)] = '1'",,,,,,
h1m,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months, how many nights did you sleep in</span> an apartment or house you rented?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid3(2)] = '1'",,,,,,
h1n,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep in</span> an apartment, condo, or house that you own?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid3(3)] = '1'",,,,,,
h1ts,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">In the last 6 months, how many nights did you stay in</span> a ""Tiny Home"", ""Tuff Shed"", or ""Community Cabin""?</p></div>",,,number,,,,"[six_mo_broad(9)] = '1'",,,,,,
h1o,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months, how many nights did you </span>stay with family or friends for free?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid3(4)] = '1'",,,,,,
h1o_who,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;"">Was it family or a friend you stayed with for free?</p></div>","1, Family | 2, Friend | 3, Both at different times | -98, Don't know | -99, Refused",,,,,,"[h1o] > 0",,,,,,
h1p,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months, how many nights did you stay </span>with family or friends and paid them to stay there?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid3(5)] = '1'",,,,,,
h1p_who,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;"">Was it family or a friend you paid to stay with?</p></div>","1, Family | 2, Friend | 3, Both at different times | -98, Don't know | -99, Refused",,,,,,"[h1p] > 0",,,,,,
h1q,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep in a</span> room, apartment or house where you exchanged work for rent?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid3(6)] = '1'",,,,,,
h1r,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months, how many nights did you sleep in a</span> room, apartment, or house where you exchanged sex for rent?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid3(7)] = '1'",,,,,,
inst_prompt,housing_hh2bl_housing_modified,,descriptive,Institutions,,,,,,,"[h0d] = '1' or [h0d] = '2' or [h0d] = '3' or [h0d] = '4' or [h0d] = '5' or [h0d] = '6' or [h0d] = '7' or [h0d] = '8' or [h0d] = '9'",,,,,,
h1t,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months,</span> <span style=""font-weight: normal;"">how many nights did you sleep in a </span>hospital for a medical or surgical problem?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid4(1)] = '1'",,,,,,
h1u,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months, how many nights did you sleep in a </span>psychiatric hospital or mental health facility?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid4(2)] = '1'",,,,,,
h1v,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p style=""margin-bottom: 0in;""><span style=""font-weight: normal;"">In the last 6 months, how many nights did you sleep in a </span>nursing home?</p></div>",,"1-180 nights; up to 299 nights possible; -98 = Don't know/Refused",number,-99,299,,"[testgrid4(3)] = '1'",,,,,,
